index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,,,3,3,,
3,2,4,9,,3,3,3,
4,3,5,10,,3,3,3,
5,4,6,,,3,3,,
6,5,,,,3,,,
7,,,,1,,,,3
8,,9,14,,,3,3,
9,8,,,3,3,,,3
10,,11,,4,,3,,3
11,10,,17,,3,,3,
12,,,18,,,,3,
13,,,19,,,,3,
14,,15,,8,,3,,3
15,14,16,,,3,3,,
16,15,,22,,3,,3,
17,,,23,11,,,3,3
18,,,24,12,,,3,3
19,,20,25,13,,3,3,3
20,19,,,,3,,,
21,,,27,,,,3,
22,,,28,16,,,3,3
23,,24,29,17,,3,3,3
24,23,,30,18,3,,3,3
25,,26,31,19,,3,3,3
26,25,27,,,3,3,,
27,26,28,,21,3,3,,3
28,27,29,,22,3,3,,3
29,28,,35,23,3,,3,3
30,,,,24,,,,3
31,,32,37,25,,3,3,3
32,31,,38,,3,,3,
33,,34,39,,,3,3,
34,33,35,,,3,3,,
35,34,,41,29,3,,3,3
36,,,42,,,,3,
37,,,43,31,,,3,3
38,,,44,32,,,3,3
39,,40,,33,,3,,3
40,39,,,,3,,,
41,,,47,35,,,3,3
42,,,48,36,,,3,3
43,,,,37,,,,3
44,,45,,38,,3,,3
45,44,46,,,3,3,,
46,45,,,,3,,,
47,,48,,41,,3,,3
48,47,,,42,3,,,3
