index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,,,3,3,,
3,2,4,,,3,3,,
4,3,,10,,3,,3,
5,,6,11,,,3,3,
6,5,,,,3,,,
7,,,13,,,,3,
8,,9,14,,,3,3,
9,8,10,15,,3,3,3,
10,9,,16,4,3,,3,3
11,,,17,5,,,3,3
12,,,18,,,,3,
13,,14,,7,,3,,3
14,13,,,8,3,,,3
15,,,21,9,,,3,3
16,,17,22,10,,3,3,3
17,16,18,,11,3,3,,3
18,17,,,12,3,,,3
19,,20,,,,3,,
20,19,21,26,,3,3,3,
21,20,,,15,3,,,3
22,,23,28,16,,3,3,3
23,22,24,,,3,3,,
24,23,,30,,3,,3,
25,,26,,,,3,,
26,25,27,,20,3,3,,3
27,26,,,,3,,,
28,,,,22,,,,3
29,,30,35,,,3,3,
30,29,,36,24,3,,3,3
31,,32,37,,,3,3,
32,31,,38,,3,,3,
33,,34,39,,,3,3,
34,33,,40,,3,,3,
35,,,41,29,,,3,3
36,,,42,30,,,3,3
37,,,43,31,,,3,3
38,,39,,32,,3,,3
39,38,,45,33,3,,3,3
40,,,46,34,,,3,3
41,,,,35,,,,3
42,,,48,36,,,3,3
43,,44,,37,,3,,3
44,43,,,,3,,,
45,,46,,39,,3,,3
46,45,47,,40,3,3,,3
47,46,48,,,3,3,,
48,47,,,42,3,,,3
